"Data exported from:",http://scotssyntaxatlas.ac.uk/api/v1/csv/attributes
pid,code,pname,pdesc,atname,atdescription,aid,soundclips
26,q7,"NOMINALS - DETERMINERS","control examples","He has to go to <b>the hospital</b>.",,163,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/q7-208.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q7-209.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q7-210.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q7-212.mp3"
26,q8,"NOMINALS - DETERMINERS","control examples","I'm going to <b>my bed</b>.",,164,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/q8-206.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q8-217.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q8-218.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q8-245.mp3"
26,q9,"NOMINALS - DETERMINERS","control examples","I've had <b>my dinner</b> already.",,165,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/q9-213.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q9-214.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q9-215.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q9-216.mp3"
17,m1,"NOMINALS - IRREGULAR PLURALS",," He got something in his <b>een</b>!",,117,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/m1-107.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/m1-108.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/m1-109.mp3"
17,m2,"NOMINALS - IRREGULAR PLURALS",," You have to take off your <b>sheen</b> at the door.",,118,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/m2-130.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/m2-131.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/m2-132.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/m2-133.mp3"
55,q18,"NOMINALS - ONE",,"I got <b>a big yin</b> so we can share.",,247
55,q23,"NOMINALS - ONE",," I liked <b>the yin</b> with Jack Nicholson.",,249
30,q16,"NOMINALS - PRONOUNS",,"I'm off to meet <b>himself</b> later.",,245
30,q17,"NOMINALS - PRONOUNS",,"So apparently <b>himself</b> is joining us for dinner.",,246,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q17-249.mp3
30,q2,"NOMINALS - PRONOUNS",,"I havnae met <b>any other body</b> from school in ages.",,248
30,q28,"NOMINALS - PRONOUNS",,"We'll take <b>wir</b> brollies just in case.",,284
30,q29,"NOMINALS - PRONOUNS",,"<b>Wir</b> brollies were useless in that wind.",,270
30,q30,"NOMINALS - PRONOUNS",,"I saw <b>youse</b> from across the street earlier but you didnae see me.",,242,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/q30-57.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q30-60.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q30-250.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q30-251.mp3"
30,q32,"NOMINALS - PRONOUNS",,"Did <b>ee</b> like it at all?",,285
30,q35,"NOMINALS - PRONOUNS",,"He looked at <b>hisself</b> in the mirror a lot.",,293,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/q35-166.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q35-167.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q35-168.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q35-169.mp3"
30,q36,"NOMINALS - PRONOUNS",,"They're always feeling sorry for <b>theirselves</b>.",,294,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/q36-180.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q36-181.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q36-220.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/q36-221.mp3"
3,b14,"PARTICIPLES - IRREGULAR PERFECT",,"Hurry up, I've <b>putten</b> your dinner out.",,47
3,b5,"PARTICIPLES - IRREGULAR PERFECT",,"I would've <b>came</b> along just for the cakes!",,41
3,b6,"PARTICIPLES - IRREGULAR PERFECT",,"They've <b>went</b> home already",,42
3,b7,"PARTICIPLES - IRREGULAR PERFECT",,"The waiter has <b>forgot</b> about us.",,43
43,b1,"PARTICIPLES - IRREGULAR PRETERITE",,"I <b>seen</b> that last week aye.",,38,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/b1-82.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/b1-83.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/b1-84.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/b1-85.mp3"
